Key,Name,URL,,,,,,,,,
SVN,Subversion,,,,,,,,,,
SYNCOPE,Syncope,,,,,,,,,,
SYSTEMML,SystemML,,,,,,,,,,
TAPESTRY,Tapestry,,,,,,,,,,
TAP5,Tapestry 5,,,,,,,,,,
THRIFT,Thrift,,,,,,,,,,
TIKA,Tika,,,,,,,,,,
TILES,Tiles,,,,,,,,,,
TINKERPOP,TinkerPop,,,,,,,,,,
TOMEE,TomEE,,,,,,,,,,
TOREE,TOREE,,,,,,,,,,
TORQUE,Torque,,,,,,,,,,
TORQUEOLD,Torque issues (old),,,,,,,,,,
TC,Traffic Control,,,,,,,,,,
TS,Traffic Server,,,,,,,,,,
TUSCANY,Tuscany,,,,,,,,,,
UIMA,UIMA,,,,,,,,,,
USERGRID,Usergrid,,,,,,,,,,
VELOCITY,Velocity,,,,,,,,,,
WAVE,Wave,,,,,,,,,,
WICKET,Wicket,,,,,,,,,,
WINK,Wink,,,,,,,,,,
WSS,WSS4J,,,,,,,,,,
XALANC,XalanC,,,,,,,,,,
XAP,XAP,,,,,,,,,,
XBEAN,XBean,,,,,,,,,,
XERCESC,Xerces-C++,,,,,,,,,,
XERCESJ,Xerces2-J,,,,,,,,,,
XMLRPC,XML-RPC,,,,,,,,,,
XMLBEANS,XMLBeans,,,,,,,,,,
XW,XWork,,,,,,,,,,
ZEPPELIN,Zeppelin,,,,,,,,,,
ZOOKEEPER,ZooKeeper,,,,,,,,,,
