Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
STR-1897,3,7,|2|,|2|3|4|5|6|7|,|
STR-1908,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1909,3,7,|2|,|2|3|4|5|6|7|,|
STR-1910,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1907,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1911,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1912,3,7,|2|,|2|3|4|5|6|7|,|
STR-1917,3,7,|2|,|2|3|4|5|6|7|,|
STR-1914,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1925,3,7,|2|,|2|3|4|5|6|7|,|
STR-1926,3,7,|2|,|2|3|4|5|6|7|,|
STR-1919,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1929,3,7,|2|,|2|3|4|5|6|7|,|
STR-1921,3,7,|2|,|2|3|4|5|6|7|,|
STR-1931,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1933,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1934,3,7,|2|,|2|3|4|5|6|7|,|
STR-1930,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1936,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1940,3,7,|2|,|2|3|4|5|6|7|,|
STR-1938,3,7,|2|,|2|3|4|5|6|7|,|
STR-1939,3,7,|2|,|2|3|4|5|6|7|,|
STR-1950,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1953,3,7,|,|3|4|5|6|7|,|1.0.1|
STR-1949,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1951,3,7,|2|,|2|3|4|5|6|7|,|
STR-1957,3,7,|2|,|2|3|4|5|6|7|,|
STR-1965,3,7,|2|,|2|3|4|5|6|7|,|
STR-1959,3,7,|2|,|2|3|4|5|6|7|,|
STR-1958,3,7,|2|,|2|3|4|5|6|7|,|
STR-1971,3,7,|2|,|2|3|4|5|6|7|,|
STR-1972,3,7,|2|,|2|3|4|5|6|7|,|
STR-1968,3,7,|2|,|2|3|4|5|6|7|,|
STR-1969,3,7,|2|,|2|3|4|5|6|7|,|
STR-1979,3,7,|2|,|2|3|4|5|6|7|,|
STR-1978,3,7,|2|,|2|3|4|5|6|7|,|
STR-1973,3,7,|2|,|2|3|4|5|6|7|,|
STR-1977,3,7,|2|,|2|3|4|5|6|7|,|
STR-1974,3,7,|2|,|2|3|4|5|6|7|,|
STR-1990,3,7,|2|,|2|3|4|5|6|7|,|
STR-1982,3,7,|2|,|2|3|4|5|6|7|,|
STR-1980,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1992,3,7,|2|,|2|3|4|5|6|7|,|
STR-1985,3,7,|2|,|2|3|4|5|6|7|,|
STR-1994,3,7,|2|,|2|3|4|5|6|7|,|
STR-1995,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1993,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1997,3,7,|2|,|2|3|4|5|6|7|,|
STR-2003,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1999,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1998,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2001,3,7,|2|,|2|3|4|5|6|7|,|
STR-2008,3,7,|2|,|2|3|4|5|6|7|,|
STR-2009,3,7,|2|,|2|3|4|5|6|7|,|
STR-2007,3,7,|2|,|2|3|4|5|6|7|,|
STR-2010,3,7,|2|,|2|3|4|5|6|7|,|
STR-2011,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2012,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2015,3,7,|2|,|2|3|4|5|6|7|,|
STR-2014,3,7,|2|,|2|3|4|5|6|7|,|
STR-2022,3,7,|,|3|4|5|6|7|,|1.1 RC1|
STR-2021,3,7,|2|,|2|3|4|5|6|7|,|
STR-2017,3,7,|,|3|4|5|6|7|,|1.0.0|
STR-2026,3,7,|2|,|2|3|4|5|6|7|,|
STR-2027,3,7,|2|,|2|3|4|5|6|7|,|
STR-2028,3,7,|2|,|2|3|4|5|6|7|,|
STR-2037,3,7,|,|3|4|5|6|7|,|Future|
STR-2036,3,7,|2|,|2|3|4|5|6|7|,|
STR-2033,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2029,3,7,|2|,|2|3|4|5|6|7|,|
STR-2032,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2042,3,7,|2|,|2|3|4|5|6|7|,|
STR-2039,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-2040,3,7,|2|,|2|3|4|5|6|7|,|
STR-2044,3,7,|2|,|2|3|4|5|6|7|,|
STR-2041,3,7,|2|,|2|3|4|5|6|7|,|
STR-2043,3,7,|2|,|2|3|4|5|6|7|,|
STR-2038,3,7,|,|3|4|5|6|7|,|Future|
STR-2045,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2046,3,7,|2|,|2|3|4|5|6|7|,|
STR-2050,3,7,|,|3|4|5|6|7|,|Future|
STR-2054,3,7,|2|,|2|3|4|5|6|7|,|
STR-2051,3,7,|,|3|4|5|6|7|,|Future|
STR-2048,3,7,|2|,|2|3|4|5|6|7|,|
STR-2052,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2059,3,7,|2|,|2|3|4|5|6|7|,|
STR-2062,3,7,|,|3|4|5|6|7|,|Future|
STR-2058,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2061,3,7,|2|,|2|3|4|5|6|7|,|
STR-2057,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2060,3,7,|1|,|1|2|3|4|5|6|7|,|
STR-2055,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2070,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2069,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2067,3,7,|2|,|2|3|4|5|6|7|,|
STR-2068,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2063,3,7,|2|,|2|3|4|5|6|7|,|
STR-2066,3,7,|2|,|2|3|4|5|6|7|,|
STR-2065,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2082,3,7,|2|,|2|3|4|5|6|7|,|
STR-2078,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2071,3,7,|2|,|2|3|4|5|6|7|,|
STR-2073,3,7,|,|3|4|5|6|7|,|0.5|
STR-2079,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2075,3,7,|2|,|2|3|4|5|6|7|,|
STR-2074,3,7,|,|3|4|5|6|7|,|0.5|
STR-2087,3,7,|2|,|2|3|4|5|6|7|,|
STR-2088,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2097,3,7,|2|,|2|3|4|5|6|7|,|
STR-2093,3,7,|2|,|2|3|4|5|6|7|,|
STR-2103,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2104,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-2106,3,7,|2|,|2|3|4|5|6|7|,|
STR-2099,3,7,|2|,|2|3|4|5|6|7|,|
STR-2102,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2105,3,7,|2|,|2|3|4|5|6|7|,|
STR-2101,3,7,|2|,|2|3|4|5|6|7|,|
STR-2114,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2115,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2113,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2111,3,7,|2|,|2|3|4|5|6|7|,|
STR-2108,3,7,|,|3|4|5|6|7|,|Future|
STR-2109,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2107,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2110,3,7,|2|,|2|3|4|5|6|7|,|
STR-2120,5,7,|4|,|4|5|6|7|,|
STR-2125,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2124,3,7,|2|,|2|3|4|5|6|7|,|
STR-2123,3,7,|2|,|2|3|4|5|6|7|,|
STR-2122,3,7,|2|,|2|3|4|5|6|7|,|
STR-2116,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2133,3,7,|2|,|2|3|4|5|6|7|,|
STR-2134,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2132,3,7,|2|,|2|3|4|5|6|7|,|
STR-2139,3,7,|2|,|2|3|4|5|6|7|,|
STR-2130,3,7,|2|,|2|3|4|5|6|7|,|
STR-2138,3,7,|2|,|2|3|4|5|6|7|,|
STR-2127,3,7,|2|,|2|3|4|5|6|7|,|
STR-2137,3,7,|2|,|2|3|4|5|6|7|,|
STR-2136,3,7,|2|,|2|3|4|5|6|7|,|
STR-2155,3,7,|2|,|2|3|4|5|6|7|,|
STR-2145,3,7,|2|,|2|3|4|5|6|7|,|
STR-2148,3,7,|2|,|2|3|4|5|6|7|,|
STR-2150,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2146,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2152,3,7,|,|3|4|5|6|7|,|Future|
STR-2149,3,7,|2|,|2|3|4|5|6|7|,|
STR-2141,3,7,|2|,|2|3|4|5|6|7|,|
STR-2156,3,7,|,|3|4|5|6|7|,|1.0.0|
STR-2162,3,7,|,|3|4|5|6|7|,|1.1 Beta 1|
STR-2157,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2163,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2158,3,7,|2|,|2|3|4|5|6|7|,|
STR-2160,3,7,|,|3|4|5|6|7|,|0.5|
STR-2159,3,7,|,|3|4|5|6|7|,|1.0.1|
STR-2166,3,7,|2|,|2|3|4|5|6|7|,|
STR-2172,3,7,|2|,|2|3|4|5|6|7|,|
STR-2165,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2170,3,7,|2|,|2|3|4|5|6|7|,|
STR-2169,3,7,|2|,|2|3|4|5|6|7|,|
STR-2180,3,7,|2|,|2|3|4|5|6|7|,|
STR-2177,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-2176,3,7,|,|3|4|5|6|7|,|Future|
STR-2175,3,7,|2|,|2|3|4|5|6|7|,|
