Index,Version Name,Release Date,Last Commit
94,1.5.12,2014-09-04T00:00,a3aa418c5ef1a4f0d8b034bb3b4ff3442f7c996b
95,6.17.0,2014-09-05T00:00,eefe3c30aae07ea88ef0a81ca94d51ace299ec8f
96,7.0.0-M4,2014-11-10T00:00,6c964300f5abd0497dc053b9a5bab72e9c709ab8
97,6.19.0,2015-02-03T00:00,73c6f52b90f570c6401ee479f8463b13e541aa6a
98,1.5.13,2015-02-13T00:00,be3ed3d38e8f47dc00f7da92c281f5445372189d
99,6.20.0,2015-06-16T00:00,f069fc5dddc402c10a56861df24816fbe0e4333d
100,7.0.0-M6,2015-06-22T00:00,1fd793496e4edef5b659dd55c9008b972a0e2040
101,7.0.0,2015-07-10T00:00,d93cb8fe7da2c3f3d7b74c67ee4b14ac123abbdc
102,1.5.14,2015-10-22T00:00,52f4ec449e2588cea25243a94605ce434cf38e49
103,7.1.0,2015-10-27T00:00,f14e03f84454101fe6569bd1a1979b5835835246
104,6.21.0,2015-11-09T00:00,6d88caf83d737551d8c3d2656425a9d9b74115d8
105,7.2.0,2016-01-26T00:00,ed7aa25313b6cc130c53dcb9e26285ff8338fb30
106,1.5.15,2016-02-11T00:00,4593162cf4829dcecf2e0a1ab91f6a5f5296ef6e
107,6.23.0,2016-05-05T00:00,89c1290cb007f14c13c1d6d6648a8c0a090a97b2
108,1.5.16,2016-06-24T00:00,ff26ad8e4993ce02b44d05e89171f90fd57a5bc8
109,8.0.0-M1,2016-07-03T00:00,358e68f075b315a5404db5eef4518e5201ed3a62
110,6.24.0,2016-07-17T00:00,d38181d8af04d3eca1fef0ddcca6ad207689b445
111,7.5.0,2016-10-21T00:00,3471de9b20c40acbcefbb09ac2c99e1466b89699
112,6.26.0,2017-01-03T00:00,f57dbdaff9f05436923baeb2fdbf4f70f7822e0b
113,8.0.0-M4,2017-02-13T00:00,05a17413077661debe2c1ab10427bb12cac008c7
114,8.0.0-M5,2017-03-29T00:00,8a4e1b3c24f4ce1fc3e44ca1b5a9230158d9b584
115,7.7.0,2017-05-18T00:00,2e95e56fbe6d736b1d820ea24a13721a72279b88
116,8.0.0-M6,2017-05-19T00:00,86fe8a955c5003d044c91670c1e929d8c544f3cb
117,6.27.0,2017-07-06T00:00,df430f76c3cb6b98550511ebcba79ed75e0fa1e4
118,7.8.0,2017-07-12T00:00,42bf896538953b302933362ce347e820a72ba40d
119,8.0.0-M7,2017-08-12T00:00,d851788ab5fcbf648eec33eb479a608823c01409
120,7.9.0,2017-09-19T00:00,2f9194a1e52f27fcc34262c725dbb7b313f2146b
121,6.28.0,2017-10-02T00:00,05aa3e883dd86a05416312e1f728dd129cbd2734
122,8.0.0-M8,2017-10-25T00:00,59f3ac4e74319786fc51cc6e5d6bc514e203ee23
123,7.10.0,2018-02-15T00:00,e5ce1df6aa7f55ab3e1a0dac8b8d09250b510c1f
124,8.0.0-M9,2018-02-17T00:00,e5ce1df6aa7f55ab3e1a0dac8b8d09250b510c1f
125,6.29.0,2018-02-21T00:00,dfa32cd151fec1e85ed65a83a363ef33144a652e
126,8.0.0,2018-05-22T00:00,0b58d111ca67ca40ebaad231c8c6517f685a023a
127,8.1.0,2018-09-10T00:00,05c401d50604bfc36e670de64ba4694f43f65e7a
128,8.2.0,2018-11-12T00:00,7cfa536d687a181d73bc2e38d1e7ffc3e0032f0e
129,7.11.0,2018-11-30T00:00,7b025aba9886787c2c707b046f39657f2939afb8
130,6.30.0,2018-12-10T00:00,7bb4d2743ba4599d1c05140ea89280f2fae23358
131,8.3.0,2019-02-01T00:00,684c297cc79f169eeced9e124e7a7e5fe81fb774
132,7.12.0,2019-02-06T00:00,7bef3d67c8ccc269f02e8943bf9a22c3cd5438e9
133,8.4.0,2019-04-05T00:00,12b1fb227564c22f4887dea23610be7cb8c5d977
134,7.13.0,2019-04-06T00:00,9b7ad5d18a4e39fb7f52abace6c47dd3ae7867cc
135,9.0.0-M1,2019-04-16T00:00,103e9963ef205b0181619d247f7b8571eb2a1f92
