Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
QPIDJMS-242,2017-01-05 16:45:15 +0000,2016-12-30 16:28:40 +0000,2017-01-04 18:34:16 -0500,e7692d9d06d24e9660bcf4f90d8175fdd136ad66,qpid-jms
QPIDJMS-360,2018-01-24 17:42:48 +0000,2018-01-24 16:41:26 +0000,2018-01-24 17:17:46 +0000,ba0541660c43df5616cf98f02258272a278720f4,qpid-jms
QPIDJMS-54,2015-05-20 13:28:32 +0000,2015-05-20 13:26:45 +0000,2015-05-20 14:27:16 +0100,760e0224f9d25ad043c74fa83e38737d9edce299,qpid-jms
QPIDJMS-52,2015-05-20 13:29:51 +0000,2015-05-19 16:46:13 +0000,2015-05-20 14:27:36 +0100,6b7320052b26fb2345bd3c7aac44e94857c98cbd,qpid-jms
QPIDJMS-59,2015-05-29 19:16:56 +0000,2015-05-29 11:04:09 +0000,2015-05-29 15:13:44 -0400,07d1637d959002cef9c7eb5466f0185618db29bc,qpid-jms
QPIDJMS-117,2015-09-24 10:08:22 +0000,2015-09-23 11:49:53 +0000,2015-09-23 12:39:42 +0100,12e77cac7f84d0059010c21efe5e39a5f5733c9b,qpid-jms
QPIDJMS-58,2015-05-29 19:18:27 +0000,2015-05-29 10:55:23 +0000,2015-06-11 18:24:40 +0100,cdb5ed031b614b6193dc806474bb188ce8a0579d,qpid-jms
QPIDJMS-118,2015-10-08 16:47:28 +0000,2015-10-02 13:57:55 +0000,2015-10-02 15:00:36 +0100,301e32d69552bc183fadee471c45a1717a6347f1,qpid-jms
QPIDJMS-239,2017-02-24 14:07:35 +0000,2016-12-15 16:05:58 +0000,2017-01-05 16:48:09 +0000,84c95aa1e1f5f9b43e32b490dcc1091b343cde3e,qpid-jms
QPIDJMS-57,2015-05-28 14:48:08 +0000,2015-05-28 11:37:29 +0000,2015-05-28 15:46:16 +0100,db615570d703a78d08f40f844294c0ebc82e6524,qpid-jms
QPIDJMS-119,2015-10-05 15:08:18 +0000,2015-10-05 14:46:48 +0000,2015-10-05 15:51:08 +0100,4f1309c6701eb0acb56e0e7cd04ad345628d9c24,qpid-jms
QPIDJMS-56,2015-05-29 14:42:45 +0000,2015-05-28 11:21:06 +0000,2015-05-29 15:38:55 +0100,cfb65ee616ef4f4d3e0ce36c93c5d4dd8800940c,qpid-jms
QPIDJMS-312,2017-08-09 13:57:27 +0000,2017-08-09 07:57:58 +0000,2017-08-09 09:56:54 -0400,d4d318d5592d270282326a38a47b1e893dd44784,qpid-jms
QPIDJMS-434,2018-11-20 22:07:31 +0000,2018-11-20 21:55:03 +0000,2018-11-20 17:06:05 -0500,2186300e879e1dc235e67d7b197c55b46618dc2b,qpid-jms
QPIDJMS-395,2018-06-25 19:45:47 +0000,2018-06-18 10:21:31 +0000,2018-06-25 13:38:30 -0400,fe0307b58beb7ec344f728e34a7ca0e3ef103add,qpid-jms
QPIDJMS-154,2016-03-16 12:29:44 +0000,2016-03-11 11:38:25 +0000,2016-03-15 17:28:56 -0400,274fff802dfae00f5722ceebbc952362fcbe4e54,qpid-jms
QPIDJMS-80,2015-07-09 16:19:31 +0000,2015-06-28 12:21:56 +0000,2015-07-09 15:50:17 +0100,f4b709209fbea24cddab35244e1772bca659fff2,qpid-jms
QPIDJMS-272,2017-03-09 17:22:25 +0000,2017-03-09 16:54:13 +0000,2017-03-09 17:19:14 +0000,4624e5e6057d82fbc28f3c2b41a9a1510180c92d,qpid-jms
QPIDJMS-393,2018-06-12 17:11:42 +0000,2018-06-12 17:00:40 +0000,2018-06-20 11:36:33 -0400,7a4169f9f5c5ceba7ffda5c2bf85ae725f0bec37,qpid-jms
QPIDJMS-83,2015-07-03 16:24:35 +0000,2015-07-03 16:10:41 +0000,2015-07-03 17:15:40 +0100,fe581f51d6962195583a36501efd90446ac0369b,qpid-jms
QPIDJMS-81,2015-07-09 14:48:06 +0000,2015-07-02 10:22:25 +0000,2015-07-02 11:28:34 +0100,359077bd18878d0263af53edc733359d1d3bced6,qpid-jms
QPIDJMS-305,2017-07-21 16:01:58 +0000,2017-07-20 21:51:52 +0000,2017-07-21 11:21:33 -0400,62e30c0fc254a2a832b81c3c9a8cf5332ddf9cf5,qpid-jms
QPIDJMS-307,2017-08-03 17:23:50 +0000,2017-08-02 10:35:20 +0000,2017-08-03 18:18:15 +0100,cc00816c4d4cfca2bcc4f3ac71b86a0e1d53a36d,qpid-jms
QPIDJMS-146,2016-01-06 16:15:17 +0000,2016-01-06 13:08:19 +0000,2016-01-06 13:08:28 +0000,ebe8163ee51cc83bbfdd7ee5ac798c9234dcdf25,qpid-jms
QPIDJMS-300,2017-07-17 17:08:38 +0000,2017-07-17 16:24:47 +0000,2017-08-04 12:38:50 -0400,d9807984ab90605ab1a4cb774439b4f7d4fece11,qpid-jms
QPIDJMS-147,2016-02-02 14:53:55 +0000,2016-01-21 18:11:46 +0000,2016-01-22 16:55:44 -0500,641837949c448dcc9761c6fefd5ec06b8e30640a,qpid-jms
QPIDJMS-301,2017-07-17 20:29:14 +0000,2017-07-17 20:19:23 +0000,2017-07-17 16:28:55 -0400,e249763c00594d73abe7809f7f776dba148d225c,qpid-jms
QPIDJMS-389,2018-06-07 22:48:09 +0000,2018-06-07 22:19:08 +0000,2018-06-09 00:52:07 +0100,b64aebbd35d176755b4c2cc517148824c3079d21,qpid-jms
QPIDJMS-269,2017-03-03 17:34:44 +0000,2017-03-03 16:09:21 +0000,2017-03-03 12:30:41 -0500,1819bb277f42a895c98c3b764299c0b7371af2e1,qpid-jms
QPIDJMS-302,2017-07-19 16:18:29 +0000,2017-07-19 16:13:48 +0000,2017-07-19 17:14:10 +0100,cde08706b09d74931bc96fcd55d7bf24db960dce,qpid-jms
QPIDJMS-386,2018-06-11 17:18:14 +0000,2018-06-04 15:25:04 +0000,2018-06-07 17:12:25 +0100,fe4aa6ed9f9be25ac74c34f07c87859d64b3c73d,qpid-jms
QPIDJMS-266,2017-02-17 20:00:33 +0000,2017-02-17 19:53:21 +0000,2017-02-17 14:57:42 -0500,1b8f246553816947f8bab66b522ec6f5b84707b2,qpid-jms
QPIDJMS-140,2015-12-10 23:19:11 +0000,2015-12-10 22:26:44 +0000,2015-12-10 18:18:39 -0500,b9627fb3a2252e7d58cb43eee1667e7b19ca1362,qpid-jms
QPIDJMS-71,2015-06-10 16:52:31 +0000,2015-06-10 16:44:47 +0000,2015-06-10 17:40:59 +0100,394946a6dfb16e7f4d79cb2152efaf7f4e38a82f,qpid-jms
QPIDJMS-419,2018-10-17 16:59:48 +0000,2018-10-17 16:42:01 +0000,2018-10-17 12:50:26 -0400,59884aa60c89b843f8d8de1c26734a6d53417719,qpid-jms
QPIDJMS-139,2015-12-18 15:35:12 +0000,2015-11-17 17:22:37 +0000,2015-12-18 15:29:50 +0000,47e31fe678b6d2c2a9c211af448d4f1d2806a5a0,qpid-jms
